loc,loc_,loc_pair
Delhi Colony,370.0,"('Delhi Colony', 370.0)"
Airport,49.0,"('Airport', 49.0)"
Jamshed Road,723.0,"('Jamshed Road', 723.0)"
I-10,664.0,"('I-10', 664.0)"
PWD Road,1103.0,"('PWD Road', 1103.0)"
Pir Sohawa,1134.0,"('Pir Sohawa', 1134.0)"
Motorway Chowk,980.0,"('Motorway Chowk', 980.0)"
Ali Pur,109.0,"('Ali Pur', 109.0)"
FECHS,451.0,"('FECHS', 451.0)"
Khanna Pul,800.0,"('Khanna Pul', 800.0)"
Shaheen Town,1318.0,"('Shaheen Town', 1318.0)"
Afshan Colony,32.0,"('Afshan Colony', 32.0)"
Ghous-e-Azam Road,525.0,"('Ghous-e-Azam Road', 525.0)"
Girja Road,528.0,"('Girja Road', 528.0)"
Dhoke Banaras Road,391.0,"('Dhoke Banaras Road', 391.0)"
PWD Colony,1101.0,"('PWD Colony', 1101.0)"
Gulzar-e-Quaid Housing Society,617.0,"('Gulzar-e-Quaid Housing Society', 617.0)"
Tulsa Road,1445.0,"('Tulsa Road', 1445.0)"
Chibban,310.0,"('Chibban', 310.0)"
Ayub Colony,172.0,"('Ayub Colony', 172.0)"
High Court Road,653.0,"('High Court Road', 653.0)"
Rawat,1204.0,"('Rawat', 1204.0)"
Shams Abad,1339.0,"('Shams Abad', 1339.0)"
Range Road,1191.0,"('Range Road', 1191.0)"
Committee Chowk,331.0,"('Committee Chowk', 331.0)"
Ashraf Garden,145.0,"('Ashraf Garden', 145.0)"
Al-Kabir Town,95.0,"('Al-Kabir Town', 95.0)"
Nishat Colony,1059.0,"('Nishat Colony', 1059.0)"
Main Canal Bank Road,904.0,"('Main Canal Bank Road', 904.0)"
College Road,328.0,"('College Road', 328.0)"
Aashiana Road,11.0,"('Aashiana Road', 11.0)"
Ali View Park,112.0,"('Ali View Park', 112.0)"
Divine Gardens,406.0,"('Divine Gardens', 406.0)"
Rail Town (Canal City),1174.0,"('Rail Town (Canal City)', 1174.0)"
Bahria Nasheman,198.0,"('Bahria Nasheman', 198.0)"
Ghaziabad,523.0,"('Ghaziabad', 523.0)"
Shadbagh,1298.0,"('Shadbagh', 1298.0)"
Kahna,762.0,"('Kahna', 762.0)"
Gulshan Park,582.0,"('Gulshan Park', 582.0)"
Doctors Housing Society,408.0,"('Doctors Housing Society', 408.0)"
Taj Bagh Scheme,1410.0,"('Taj Bagh Scheme', 1410.0)"
Vital Homes Housing Scheme,1464.0,"('Vital Homes Housing Scheme', 1464.0)"
Bilal Gunj,234.0,"('Bilal Gunj', 234.0)"
Gohawa,533.0,"('Gohawa', 533.0)"
Rehmanpura (Ferozpur Road),1220.0,"('Rehmanpura (Ferozpur Road)', 1220.0)"
Shadipura,1299.0,"('Shadipura', 1299.0)"
Swami Nagar,1403.0,"('Swami Nagar', 1403.0)"
Baghbanpura,193.0,"('Baghbanpura', 193.0)"
Nasheman-e-Iqbal,1015.0,"('Nasheman-e-Iqbal', 1015.0)"
Lake City,860.0,"('Lake City', 860.0)"
AWT Army Welfare Trust,9.0,"('AWT Army Welfare Trust', 9.0)"
Clifton Colony,325.0,"('Clifton Colony', 325.0)"
Peoples Colony No 2,1127.0,"('Peoples Colony No 2', 1127.0)"
Hilal Road,655.0,"('Hilal Road', 655.0)"
Yousaf Town,1492.0,"('Yousaf Town', 1492.0)"
Jail Road,713.0,"('Jail Road', 713.0)"
Gulbahar Colony,559.0,"('Gulbahar Colony', 559.0)"
Lasani Town,874.0,"('Lasani Town', 874.0)"
Shahzad Colony,1329.0,"('Shahzad Colony', 1329.0)"
Narwala Road,1013.0,"('Narwala Road', 1013.0)"
204 Chak Road,1.0,"('204 Chak Road', 1.0)"
Mansoorabad,925.0,"('Mansoorabad', 925.0)"
University Road,1454.0,"('University Road', 1454.0)"
Shah Faisal Town,1307.0,"('Shah Faisal Town', 1307.0)"
Civil Lines,323.0,"('Civil Lines', 323.0)"
Abid Town,24.0,"('Abid Town', 24.0)"
Falaknaz Presidency,463.0,"('Falaknaz Presidency', 463.0)"
Bin Qasim Town,238.0,"('Bin Qasim Town', 238.0)"
Nemat Colony No 1,1039.0,"('Nemat Colony No 1', 1039.0)"
Gulshan e Madina,585.0,"('Gulshan e Madina', 585.0)"
Gulistan Colony No 1,570.0,"('Gulistan Colony No 1', 570.0)"
Shalimar Park,1333.0,"('Shalimar Park', 1333.0)"
Eden Orchard,426.0,"('Eden Orchard', 426.0)"
Eden Gardens,425.0,"('Eden Gardens', 425.0)"
Rail View Housing Society,1175.0,"('Rail View Housing Society', 1175.0)"
Ali Town,110.0,"('Ali Town', 110.0)"
Harley Street,645.0,"('Harley Street', 645.0)"
Fazal Town,475.0,"('Fazal Town', 475.0)"
Chakra,289.0,"('Chakra', 289.0)"
Susan Road,1402.0,"('Susan Road', 1402.0)"
Canal Road,263.0,"('Canal Road', 263.0)"
Sarwar Road,1288.0,"('Sarwar Road', 1288.0)"
G. H. Q,500.0,"('G. H. Q', 500.0)"
Eden Villas,430.0,"('Eden Villas', 430.0)"
Sui Gas Housing Society,1386.0,"('Sui Gas Housing Society', 1386.0)"
Thokar Niaz Baig,1435.0,"('Thokar Niaz Baig', 1435.0)"
Lahore Medical Housing Society,855.0,"('Lahore Medical Housing Society', 855.0)"
UBL Housing Society,1448.0,"('UBL Housing Society', 1448.0)"
Salli Town,1266.0,"('Salli Town', 1266.0)"
PIA Main Boulevard,1097.0,"('PIA Main Boulevard', 1097.0)"
Abdalians Cooperative Housing Society,14.0,"('Abdalians Cooperative Housing Society', 14.0)"
