location,p_counts,min_price,max_price,mean_price
Shah Di Khoi,4,8200000,13000000,10050000.0
Shah Faisal Road,10,6300000,17600000,9010000.0
Shah Jamal,72,2500000,200000000,28555555.555555556
Shah Kamal Road,17,3800000,20500000,7605882.352941177
Shah Khawar Town,4,9900000,15000000,12100000.0
Shahdara,128,1500000,400000000,9533906.25
Shahkam Chowk,3,5800000,15000000,10200000.0
Shahpur Kanjra,3,3500000,6500000,4533333.333333333
Shahtaj Colony,1,18000000,18000000,18000000.0
Shalimar Housing Scheme,19,4800000,120000000,14968421.05263158
Shalimar Link Road,34,3500000,70000000,16048529.411764706
Shalimar Town,29,2000000,30000000,8624137.931034483
Sham Nagar,29,2800000,40000000,12831034.48275862
Shama Road,26,3000000,55000000,12719230.76923077
Shamkay Bhattian,1,5500000,5500000,5500000.0
Shanghai Road,4,3600000,4200000,3787500.0
Sharaqpur Road,23,2290000,9500000,4576521.739130435
Sheikhupura Road,6,2200000,32500000,11366666.666666666
Sher Shah Road,5,5000000,20000000,11560000.0
Shera Kot,10,4500000,11500000,9970000.0
Sheraz Town,27,2100000,20000000,5370370.37037037
Shershah Colony - Ichra,3,6500000,25500000,13999666.666666666
